,fir_id,name,boundary
58,0,FARNBOROUGH CTA 5,+510652.00-0004829.00/+510449.00-0004709.00/+510602.00-0005439.00/+510652.00-0004829.00
59,0,FARNBOROUGH CTA 6,+511143.00-0005851.00/+511035.00-0005054.00/+510652.00-0004829.00/+510602.00-0005439.00/+511143.00-0005851.00
60,0,FARNBOROUGH CTA 7,+510533.00-0005140.00/+510449.00-0004709.00/+510047.00-0004433.00/+510047.00-0005251.00/+510533.00-0005140.00
61,0,FARNBOROUGH CTA 8,+510957.00-0005732.00/+510602.00-0005439.00/+510047.00-0005251.00/+505435.00-0010335.00/+510420.00-0010657.00/+510636.00-0010817.00/+510957.00-0005732.00
62,0,FARNBOROUGH CTA 9,+505739.00-0004104.00/+505119.00-0003419.00/+505119.00-0005457.00/+505512.00-0005908.00/+505739.00-0004104.00
63,0,GLASGOW CTA 1,+560700.00-0034855.00/+560700.00-0040910.00/+560400.00-0042000.00/+560130.00-0040435.00/+554434.00-0040924.00/+554349.00-0034715.00/+554806.00-0035411.00/+555724.00-0035417.00/+560700.00-0034855.00
64,0,GLASGOW CTA 2,+554349.00-0034715.00/+554434.00-0040924.00/+554132.00-0042405.00/+553700.00-0042847.00/+554125.00-0041017.00/+554125.00-0034324.00/+554349.00-0034715.00
65,0,HOLYHEAD CTA 1,+531957.00-0033954.00/+531855.00-0031647.00/+530813.00-0031736.00/+531957.00-0033954.00
66,0,HOLYHEAD CTA 2,+533944.00-0033153.00/+533213.00-0031406.00/+532621.00-0032107.00/+531909.00-0032201.00/+532006.00-0034339.00/+533054.00-0034222.00/+533944.00-0033153.00
67,0,HOLYHEAD CTA 3,+535106.00-0035909.00/+533944.00-0033153.00/+533054.00-0034222.00/+532006.00-0034339.00/+532043.00-0035838.00/+533754.00-0035641.00/+534254.00-0040847.00/+535106.00-0035909.00
68,0,HOLYHEAD CTA 4,+534329.00-0041807.00/+534309.00-0040924.00/+533754.00-0035641.00/+532043.00-0035838.00/+532134.00-0042031.00/+534329.00-0041807.00
69,0,HOLYHEAD CTA 5,+540405.00-0050040.00/+534309.00-0040924.00/+534329.00-0041807.00/+532134.00-0042031.00/+532240.00-0045156.00/+534735.00-0044937.00/+534718.00-0044057.00/+540356.00-0051933.00/+540202.00-0050543.00/+540405.00-0050040.00
70,0,HOLYHEAD CTA 6,+535358.00-0040608.00/+535106.00-0035909.00/+534254.00-0040847.00/+534546.00-0041545.00/+535358.00-0040608.00
71,0,HOLYHEAD CTA 7,+540805.00-0044053.00/+535358.00-0040608.00/+534546.00-0041545.00/+535956.00-0045043.00/+540805.00-0044053.00
72,0,HOLYHEAD CTA 8,+541627.00-0043100.00/+541125.00-0041845.00/+540307.00-0042834.00/+540805.00-0044053.00/+541627.00-0043100.00
73,0,HOLYHEAD CTA 9,+532240.00-0045156.00/+532221.00-0044336.00/+531023.00-0044444.00/+531040.00-0045301.00/+532240.00-0045156.00
74,0,IRISH SEA CTA 1,+552044.00-0053924.00/+551527.00-0050000.00/+551511.00-0050000.00/+551214.00-0050234.00/+550806.00-0043002.00/+550251.00-0045118.00/+545120.00-0050118.00/+543138.00-0050835.00/+540246.00-0035756.00/+535556.00-0040608.00/+535419.00-0042151.00/+534617.00-0043112.00/+534817.00-0053000.00/+535500.00-0053000.00/+542500.00-0081000.00/+551324.00-0070414.00/+552044.00-0053924.00
75,0,IRISH SEA CTA 2,+535556.00-0040608.00/+535522.00-0040649.00/+535358.00-0040608.00/+534150.00-0033653.00/+533918.00-0023900.00/+533630.00-0030136.00/+533222.00-0030059.00/+533213.00-0031406.00/+532734.00-0030310.00/+532336.00-0031110.00/+532345.00-0031625.00/+530813.00-0031736.00/+531957.00-0033954.00/+532240.00-0045156.00/+534658.00-0044941.00/+534617.00-0043112.00/+535419.00-0042151.00/+535556.00-0040608.00
76,0,IRISH SEA CTA 3,+532240.00-0045156.00/+531957.00-0033954.00/+530813.00-0031736.00/+530656.00-0031741.00/+531040.00-0045301.00/+532240.00-0045156.00
77,0,IRISH SEA CTA 4,+532315.00-0051017.00/+532240.00-0045156.00/+531040.00-0045301.00/+531149.00-0053000.00/+531500.00-0053000.00/+532315.00-0051017.00
78,0,IRISH SEA CTA 5,+534817.00-0053000.00/+534658.00-0044941.00/+532240.00-0045156.00/+532315.00-0051017.00/+531500.00-0053000.00/+534817.00-0053000.00
79,0,IRISH SEA CTA 6,+531035.00-0053000.00/+524310.00-0044042.00/+523550.00-0045151.00/+525705.00-0053000.00/+531035.00-0053000.00
80,0,IRISH SEA CTA 7,+524310.00-0044042.00/+522931.00-0041647.00/+522212.00-0042754.00/+523550.00-0045151.00/+524310.00-0044042.00
81,0,ISLE OF MAN CTA 4,+535740.00-0040758.00/+535358.00-0040608.00/+534546.00-0041545.00/+534700.00-0042028.00/+535740.00-0040758.00
82,0,LINCOLNSHIRE CTA 1,+532830.00-0001732.00/+532204.00+0000431.00/+531717.00+0000155.00/+531222.00+0000029.00/+531232.00-0000107.00/+530618.00-0000428.00/+531101.00-0002908.00/+532007.00-0002420.00/+532830.00-0001732.00
83,0,LINCOLNSHIRE CTA 2,+533225.00-0003106.00/+532830.00-0001732.00/+532007.00-0002420.00/+531101.00-0002908.00/+531343.00-0004324.00/+532325.00-0003820.00/+533225.00-0003106.00
84,0,LINCOLNSHIRE CTA 3,+533619.00-0004448.00/+533225.00-0003106.00/+532325.00-0003820.00/+531343.00-0004324.00/+531938.00-0011532.00/+533059.00-0010932.00/+533109.00-0010751.00/+533119.00-0010614.00/+532643.00-0004958.00/+533619.00-0004448.00
85,0,LINCOLNSHIRE CTA 4,+534117.00-0010226.00/+533619.00-0004448.00/+532643.00-0004958.00/+533119.00-0010614.00/+533109.00-0010751.00/+534117.00-0010226.00
86,0,LIVERPOOL CTA 1,+532817.00-0025719.00/+532331.00-0030804.00/+531924.00-0030735.00/+532309.00-0031205.00/+532734.00-0030310.00/+532817.00-0025719.00
87,0,LIVERPOOL CTA 2,+532734.00-0030310.00/+532336.00-0031110.00/+532345.00-0031625.00/+531855.00-0031647.00/+531909.00-0032201.00/+532621.00-0032107.00/+533213.00-0031406.00/+532734.00-0030310.00
88,0,LIVERPOOL CTA 3,+532902.00-0025059.00/+531309.00-0025059.00/+531427.00-0030140.00/+531924.00-0030735.00/+532331.00-0030804.00/+532817.00-0025719.00/+532902.00-0025059.00
89,0,LIVERPOOL CTA 4,+532336.00-0031110.00/+532309.00-0031205.00/+531427.00-0030140.00/+531855.00-0031647.00/+532345.00-0031625.00/+532336.00-0031110.00
90,0,LONDON LUTON CTA 2,+514810.00-0004155.00/+514905.00-0003647.00/+514503.00-0003457.00/+514409.00-0004005.00/+514810.00-0004155.00
91,0,LONDON LUTON CTA 3,+514810.00-0004155.00/+515150.00-0004336.00/+515244.00-0003828.00/+514905.00-0003647.00/+514810.00-0004155.00
92,0,LONDON LUTON CTA 4,+515150.00-0004336.00/+514810.00-0004155.00/+514659.00-0004838.00/+515048.00-0004926.00/+515150.00-0004336.00
93,0,LONDON LUTON CTA 5,+520038.00-0002832.00/+515743.00-0002145.00/+515021.00-0002931.00/+514905.00-0003647.00/+515244.00-0003828.00/+515258.00-0003709.00/+520038.00-0002832.00
94,0,LONDON LUTON CTA 6,+520316.00-0003441.00/+520038.00-0002832.00/+515258.00-0003709.00/+515244.00-0003828.00/+515503.00-0004353.00/+520316.00-0003441.00
95,0,LONDON LUTON CTA 7,+520606.00-0001712.00/+515935.00-0001056.00/+515743.00-0002145.00/+520038.00-0002832.00/+520606.00-0001712.00
96,0,LONDON LUTON CTA 8,+515150.00-0004336.00/+515244.00-0003828.00/+515503.00-0004353.00/+515150.00-0004336.00
97,0,LONDON LUTON CTA 9,+515150.00-0004336.00/+515503.00-0004353.00/+515749.00-0004048.00/+515356.00-0005006.00/+515048.00-0004926.00/+515150.00-0004336.00
98,0,LONDON STANSTED CTA 4,+520300.00+0000907.00/+520517.00+0002124.00/+515155.00+0000120.00/+515146.00-0000006.00/+520127.00+0000000.00/+520300.00+0000907.00
99,0,EGLINTON CTA 1,+550527.00-0071520.00/+545506.00-0072926.00/+550205.00-0073332.00/+550527.00-0071520.00
100,0,EGLINTON CTA 2,+550205.00-0073332.00/+545506.00-0072926.00/+545212.00-0073329.00/+550114.00-0073807.00/+550205.00-0073332.00
101,0,MANCHESTER CTA 1,+533430.00-0020400.00/+532734.00-0030310.00/+533200.00-0025000.00/+533430.00-0020400.00
102,0,MANCHESTER CTA 2,+531047.00-0020459.00/+530602.00-0022246.00/+530626.00-0024349.00/+531427.00-0030140.00/+531050.00-0023224.00/+531055.00-0022207.00/+531616.00-0020131.00/+531047.00-0020459.00
103,0,MANCHESTER CTA 3,+533650.00-0015216.00/+532719.00-0014617.00/+532656.00-0015000.00/+530732.00-0020056.00/+531047.00-0020459.00/+532730.00-0015400.00/+533430.00-0020400.00/+533650.00-0015216.00
104,0,MANCHESTER CTA 4,+533011.00-0024123.00/+532708.00-0023744.00/+531130.00-0023744.00/+531309.00-0025059.00/+532902.00-0025059.00/+533011.00-0024123.00
105,0,MANCHESTER CTA 5,+533124.00-0023102.00/+532056.00-0023103.00/+532638.00-0022258.00/+533430.00-0020400.00/+533124.00-0023102.00
106,0,NEWCASTLE CTA 6,+545010.00-0013330.00/+544124.00-0013620.00/+544356.00-0020004.00/+545010.00-0013330.00
107,0,NEWCASTLE CTA 7,+544356.00-0020004.00/+544219.00-0014448.00/+543724.00-0014622.00/+543901.00-0020136.00/+544356.00-0020004.00
108,0,NITON CTA 1,+532345.00-0031625.00/+532336.00-0031110.00/+532309.00-0031205.00/+531427.00-0030140.00/+530626.00-0024349.00/+530314.00-0024935.00/+530209.00-0025131.00/+531018.00-0031726.00/+531733.00-0031654.00/+532345.00-0031625.00
109,0,NITON CTA 2,+531733.00-0031654.00/+531018.00-0031726.00/+530348.00-0031757.00/+530540.00-0032345.00/+531733.00-0031654.00
110,0,NITON CTA 3,+531018.00-0031726.00/+530209.00-0025131.00/+525618.00-0030157.00/+525846.00-0030145.00/+525914.00-0031817.00/+530348.00-0031757.00/+531018.00-0031726.00
