,sectorline,coords
106,LC14b,+524900.000-0004936.651/+522630.000-0002732.000
107,LC15,+522630.000-0002732.000/+522632.000-0003702.000/+521104.000-0002159.000
108,LC16,+522630.000-0002732.000/+522626.000-0001012.000
109,LC17,+515619.000-0000748.000/+521104.000-0000210.000
110,LC18,+522618.000-0012315.000/+523259.000-0013025.000
111,LC19,+520519.000-0005956.000/+515859.000-0005202.000
112,LC20,+515859.000-0005202.000/+514255.900-0003354.000
113,LC21,+524900.000-0004936.651/+524616.000-0005631.000
114,LC22,+520603.000-0005814.000/+515859.000-0005202.000
115,LCE1,+522615.000+0001348.000/+521906.000-0000344.000/+521104.000+0000528.000
116,LCE2a,+521104.000-0000210.000/+521104.000+0000528.000
117,LCE2b,+521104.000-0002159.000/+521104.000-0000210.000
118,LCS1,+513943.000-0012646.000/+513423.000-0011138.000
119,LCS2,+513423.000-0011138.000/+514014.600-0004546.000
120,LCS3,+514014.600-0004546.000/+514255.900-0003354.000
121,LCSD1,+514255.900-0003354.000/+514804.000-0001114.000
122,LESD1,+514222.000+0000904.000/+512715.000+0003300.000
123,LE1,+514503.000+0005032.000/+514417.000+0003607.000
124,LE2,+521104.000+0000528.000/+521104.000+0002616.414
125,LED1,+512715.000+0003300.000/+512647.000+0005000.000
126,LED2a,+512647.000+0005000.000/+512658.000+0005532.000
127,LED2b,+512658.000+0005532.000/+512450.000+0013119.000
128,LED3,+512450.000+0013119.000/+512430.000+0013643.000
129,LED4,+512430.000+0013643.000/+512300.000+0020000.000
130,LED5a,+520228.000+0001524.000/+514417.000+0003607.000
131,LED5b,+514417.000+0003607.000/+512658.000+0005532.000
132,LEAA1,+522819.000+0024644.000/+522319.000+0024237.000/+521826.000+0023838.000/+520653.000+0022917.000/+515709.710+0022128.660
133,LEBU1,+513000.000+0020000.000/+512300.000+0020000.000
134,SAS1,+514244.830+0021001.170/+513000.000+0020000.000
135,SAS2,+513000.000+0020000.000/+512720.000+0023000.000
136,SAS3,+513812.590+0023000.000/+512720.000+0023000.000
137,IBNOS1,+514244.830+0021001.170/+515702.160+0022122.620
138,IBNOS2,+515702.160+0022122.620/+515709.710+0022128.660
139,IBNOS3,+515709.710+0022128.660/+515827.020+0024000.870
140,IBNOS4,+515827.020+0024000.870/+520027.050+0031018.610/+515756.440+0031018.610
141,IBNOS5,+515702.160+0022122.620/+515756.440+0031018.610
142,IBNOS6a,+515756.440+0031018.610/+512850.170+0031018.610
143,IBNOS6b,+512850.170+0031018.610/+513554.520+0024000.870
144,IBNOS7,+515827.020+0024000.870/+513554.520+0024000.870
145,IBNOS8,+513554.520+0024000.870/+513812.590+0023000.000
146,IBNOS9,+513812.590+0023000.000/+514244.830+0021001.170
147,LCM1,+521628.100-0021218.500/+523259.000-0013025.000
148,LCM2a,+523259.000-0013025.000/+523521.897-0012427.752
149,LCM2b,+523521.897-0012427.752/+524616.000-0005631.000
150,LCM2b,
151,LCM3,+524006.000-0013249.000/+523259.000-0013025.000
152,LCM4,+524006.000-0013249.000/+524806.000-0005821.000
153,LCM5,+524938.000-0013020.000/+524006.000-0013249.000
154,LCM6,+524938.000-0013020.000/+525017.000-0010038.000
155,LCM7,+524806.000-0005821.000/+524616.000-0005631.000
156,LCM8,+525017.000-0010038.000/+524806.000-0005821.000
157,LCM9,+531017.000-0012043.000/+525017.000-0010038.000
158,LCM10,+524149.000-0023750.000/+530031.000-0014737.000
159,LCM11,+530031.000-0014737.000/+531017.000-0012043.000
160,LSD1,+514014.600-0004546.000/+512904.000-0002753.000
161,LSD2,+515421.000-0010257.000/+515111.000-0005745.000/+514014.600-0004546.000
162,LSFF,+500000.000-0001500.000/+502405.000+0004611.000
163,LSRR,+495457.000-0023012.000/+500000.000-0020000.000/+500000.000-0001500.000
164,LDBU1,+512300.000+0020000.000/+510700.000+0020000.000
165,LDBU2,+510700.000+0020000.000/+510445.000+0014929.000
166,LDBU3,+510445.000+0014929.000/+505958.717+0020154.478
167,LDFF1,+510700.000+0020000.000/+510000.000+0012800.000
168,LDFF2,+510000.000+0012800.000/+505419.000+0012754.000
169,LDM1,+502517.000+0004917.000/+504000.000+0012800.000
170,LDM2,+505419.000+0012754.000/+504000.000+0012800.000
171,LDM3,+505419.000+0012754.000/+504244.000+0014405.000/+503606.000+0013218.000
172,LDM4,+504000.000+0012800.000/+503606.000+0013218.000
173,LDM5,+503606.000+0013218.000/+501346.000+0015706.000/+501017.000+0015131.000
174,LDM6,+503606.000+0013218.000/+501017.000+0015131.000
175,LDM7,+500331.000+0013906.000/+501017.000+0015131.000
176,LDM8,+495656.000+0012709.000/+500331.000+0013906.000
177,LDM9a,+495519.000+0012412.000/+495656.000+0012709.000
178,LDM9b,+495841.000+0011944.000/+495519.000+0012412.000
179,LDM10,+502405.000+0004611.000/+495841.000+0011944.000
180,LDM11,+502517.000+0004917.000/+501629.000+0010108.000
181,LDM12,+501629.000+0010108.000/+500331.000+0013906.000
182,LDM13,+501629.000+0010108.000/+495951.000+0012317.000
183,LDM14,+495951.000+0012317.000/+495656.000+0012709.000
184,LDM15,+495841.000+0011944.000/+495951.000+0012317.000
185,LDM16,+502405.000+0004611.000/+502517.000+0004917.000
186,LTC1a,+513943.000-0012646.000/+514319.000-0012837.000/+515421.000-0010257.000
187,LTC1b,+515421.000-0010257.000/+515859.000-0005202.000
188,LTC1c,+515859.000-0005202.000/+521104.000-0002159.000
189,LTC2,+521104.000-0002159.000/+515619.000-0000748.000
190,LTC3a,+521104.000-0002159.000/+521104.000+0002616.414
191,LTC3b,+521104.000+0002616.414/+521104.000+0003242.000/+521221.000+0004819.000
192,LTC4,+514222.000+0000904.000/+514503.000+0005032.000
193,LTC5a,+515619.000-0000748.000/+515022.063-0000206.831
194,LTC5b,+514222.000+0000904.000/+514801.000+0000008.000/+515022.063-0000206.831
195,LTC6a,+515619.000-0000748.000/+514804.000-0001114.000
196,LTC6b,+514804.000-0001114.000/+512904.000-0002753.000
197,LTC7,+514222.000+0000904.000/+512752.000+0001009.000
198,LTC8,+514503.000+0005032.000/+514431.000+0005038.000/+513618.000+0005532.000/+513417.000+0005000.000/+512647.000+0005000.000
199,LTC9,+512752.000+0001009.000/+512715.000+0003300.000
200,LTC10,+503330.000+0003416.000/+502405.000+0004611.000
201,LTC11,+503330.000+0003416.000/+504219.000+0005741.000/+505656.000+0010156.000/+505530.000+0010512.000/+504000.000+0012800.000
202,LTC12,+512450.000+0013119.000/+510000.000+0012800.000
203,LTC13,+510853.000-0001125.000/+505433.000+0000716.000/+503330.000+0003416.000
204,LTC14,+504928.000-0011714.000/+503700.000-0012620.000/+503700.000-0003938.000/+502957.000-0003209.000/+502613.000+0001507.000/+503330.000+0003416.000
205,LTC15,+511817.000-0002647.000/+510853.000-0001125.000
206,LTC16,+511817.000-0002647.000/+511916.000+0000136.500/+512752.000+0001009.000
207,LTC17,+512904.000-0002753.000/+512752.000+0001009.000
208,LTC18,+512904.000-0002753.000/+511817.000-0002647.000
