,name,type,coords
592,NINEB,FIX,+540344.00-0040742.00
593,NINEX,FIX,+585120.00-0093000.00
594,NIPIT,FIX,+542709.00-0082410.00
595,NISBI,FIX,+532129.00-0003921.00
596,NISKA,FIX,+541500.00-0023033.00
597,NITON,FIX,+523312.00-0031201.00
598,NIVKO,FIX,+505606.00+0003228.00
599,NIVUN,FIX,+573412.00+0040813.00
600,NOBDO,FIX,+550453.00+0024748.00
601,NOCAD,FIX,+535837.00-0045913.00
602,NOKIN,FIX,+530436.00-0025258.00
603,NOMSU,FIX,+532806.00-0032604.00
604,NONVA,FIX,+513846.00+0012144.00
605,NOPKI,FIX,+540516.00-0042608.00
606,NORBO,FIX,+553545.00-0044543.00
607,NORLA,FIX,+513709.00-0065211.00
608,NORRY,FIX,+512847.00-0010724.00
609,NOSLO,FIX,+532254.00-0033842.00
610,NOTGI,FIX,+503510.00-0002503.00
611,NOTRO,FIX,+502612.00-0031021.00
612,NOVBA,FIX,+561200.00-0031051.00
613,NOVMA,FIX,+510212.00-0004515.00
614,NUBRI,FIX,+512017.00-0011356.00
615,NUDNA,FIX,+520355.00+0005017.00
616,NUGBO,FIX,+515822.00-0000412.00
617,NUGRA,FIX,+530146.00-0021814.00
618,NULGU,FIX,+505217.00-0015939.00
619,NUMPI,FIX,+540840.00-0053536.00
620,NUMPO,FIX,+513636.00-0031701.00
621,OBOXA,FIX,+541036.00-0015420.00
622,OBUBA,FIX,+574640.00-0073319.00
623,OBUNI,FIX,+535440.00-0024433.00
624,ODADA,FIX,+505456.00-0052634.00
625,ODIGI,FIX,+551144.00-0032539.00
626,ODMIX,FIX,+565812.00+0012803.00
627,ODMOS,FIX,+544526.00+0030252.00
628,ODNEK,FIX,+533437.00-0001813.00
629,ODPEX,FIX,+592436.00-0093000.00
630,ODREP,FIX,+500000.00-0013007.00
631,ODROB,FIX,+513915.00+0015445.00
632,ODUKU,FIX,+513532.00+0001715.00
633,ODVIK,FIX,+510957.00+0002909.00
634,ODVOD,FIX,+520756.00+0000853.00
635,OGAGI,FIX,+492722.00-0050157.00
636,OGTUG,FIX,+534012.00-0050850.00
637,OKESI,FIX,+512636.00-0020342.00
638,OKNOB,FIX,+552145.00-0044942.00
639,OKPAL,FIX,+564921.00-0020435.00
640,OKTAD,FIX,+514904.00-0023246.00
641,OKTEM,FIX,+524310.00-0031115.00
642,OKVAP,FIX,+505749.00+0011956.00
643,OLGUD,FIX,+504356.00-0013122.00
644,OLNEY,FIX,+520740.00-0004403.00
645,OLPOP,FIX,+540532.00-0023208.00
646,OMOKO,FIX,+485020.00-0120000.00
647,ORIST,FIX,+500000.00-0015042.00
648,ORSUM,FIX,+570307.00-0051741.00
649,ORTAC,FIX,+495957.00-0020018.00
650,ORTAV,FIX,+593000.00-0100000.00
651,ORVIK,FIX,+593818.00+0004009.00
652,ORVUL,FIX,+551039.00-0041007.00
653,ORVUX,FIX,+503153.00-0035107.00
654,OSBON,FIX,+610000.00-0050000.00
655,OSBOX,FIX,+564823.00-0124806.00
656,OSDEB,FIX,+505655.00+0002448.00
657,OSGIL,FIX,+513520.00-0050745.00
658,OSKOT,FIX,+522030.00-0020330.00
659,OSLEL,FIX,+572858.00-0013158.00
660,OSMAP,FIX,+495211.00-0054229.00
661,OSMEG,FIX,+550826.00-0040603.00
662,OSNUG,FIX,+505336.00-0020014.00
663,OSPOL,FIX,+500900.00-0001108.00
664,OTBED,FIX,+531717.00+0000155.00
665,OTBUN,FIX,+551650.00-0022600.00
666,OTMET,FIX,+504055.00-0023053.00
667,OTSID,FIX,+511023.00-0001351.00
668,OVDAN,FIX,+575321.00+0001818.00
669,OXLOW,FIX,+510155.00-0020000.00
670,PAAVO,FIX,+515149.00+0005116.00
671,PAVLO,FIX,+505605.00-0055344.00
672,PEDIG,FIX,+524448.00-0014310.00
673,PELET,FIX,+543912.00+0032552.00
674,PEMAK,FIX,+492656.00-0061305.00
675,PEMOB,FIX,+520838.00-0050941.00
676,PEMOS,FIX,+610000.00-0040000.00
677,PENIL,FIX,+533657.00-0033949.00
678,PENUN,FIX,+570636.00+0045011.00
679,PENUX,FIX,+510632.00+0003412.00
680,PEPEG,FIX,+540106.00-0043105.00
681,PEPIN,FIX,+595931.00+0000054.00
682,PEPIS,FIX,+511148.00-0011437.00
683,PEPOD,FIX,+541616.00-0053409.00
684,PEPUL,FIX,+521603.00-0015314.00
685,PERUP,FIX,+514234.00-0025632.00
686,PETIL,FIX,+555620.00+0050000.00
687,PETOX,FIX,+573333.00-0014902.00
688,PHILI,FIX,+492831.00-0070117.00
689,PIBUX,FIX,+513459.00+0014657.00
690,PIGOT,FIX,+522943.00-0010407.00
691,PIKIL,FIX,+560000.00-0150000.00
692,PIKOD,FIX,+492438.00-0051559.00
693,PILIP,FIX,+502003.00-0010026.00
694,PIPAR,FIX,+560700.00-0031206.00
695,PIPEM,FIX,+580923.00-0034419.00
696,PIPIN,FIX,+523636.00-0005630.00
697,PIXAM,FIX,+520447.00+0015650.00
698,PIXUP,FIX,+520151.00-0010640.00
699,PLYMO,FIX,+502045.00-0043737.00
700,POMAX,FIX,+513138.00-0020452.00
701,POTON,FIX,+520504.00-0002538.00
702,PUFAX,FIX,+521852.00-0012042.00
703,PUPJO,FIX,+513059.00-0020000.00
704,RAMID,FIX,+525728.00+0023000.00
705,RAMOX,FIX,+533937.00-0045022.00
706,RAPIX,FIX,+512638.00+0020000.00
707,RAPUM,FIX,+545518.00-0015258.00
708,RATKA,FIX,+493000.00-0080000.00
709,RATLO,FIX,+515929.00+0014055.00
710,RATPU,FIX,+565532.00-0020659.00
711,RATSU,FIX,+610000.00-0100000.00
712,RAVDI,FIX,+592957.00-0012242.00
713,RAVLO,FIX,+525501.00+0030854.00
714,REDFA,FIX,+520653.00+0022917.00
715,REGSI,FIX,+525119.00+0000151.00
716,REKNA,FIX,+561029.00+0033000.00
717,REMSI,FIX,+535737.00-0034932.00
718,RESNO,FIX,+550000.00-0150000.00
719,RETSI,FIX,+523042.00-0025233.00
720,REXAM,FIX,+530400.00-0030937.00
721,RIBEL,FIX,+540058.00-0021723.00
722,RIGDI,FIX,+501615.00-0055929.00
723,RIGVU,FIX,+584736.00+0020918.00
724,RILES,FIX,+515655.00-0025522.00
725,RIMOL,FIX,+573233.00-0040230.00
726,RIMTO,FIX,+534303.00-0012559.00
727,RIMUP,FIX,+505149.00-0004339.00
728,RIMVU,FIX,+534511.00-0050825.00
729,RINGA,FIX,+542354.00-0053416.00
730,RINIS,FIX,+515430.00+0021921.00
731,RINTI,FIX,+510158.00+0013656.00
732,RIPNO,FIX,+545632.00-0034415.00
733,RISDU,FIX,+573631.00-0014824.00
734,RISIN,FIX,+514139.00-0012628.00
735,RISLA,FIX,+530151.00-0025312.00
736,RITSI,FIX,+554209.00-0013926.00
737,RIVOT,FIX,+562429.00+0004637.00
738,RIXUN,FIX,+610000.00-0030000.00
739,ROBBO,FIX,+555323.00-0045437.00
740,ROBEM,FIX,+552733.00-0010114.00
741,ROBOP,FIX,+542709.00-0052005.00
742,ROBVA,FIX,+524804.00-0025334.00
743,RODEL,FIX,+503000.00-0150000.00
744,RODOL,FIX,+531417.00-0015143.00
745,RODSI,FIX,+544756.00+0025335.00
746,ROGAG,FIX,+531406.00-0001745.00
747,ROGBI,FIX,+521747.00-0012006.00
748,ROKAN,FIX,+533948.00+0031120.00
749,ROKKE,FIX,+510412.00+0000242.00
750,ROKSI,FIX,+503013.00-0021251.00
751,ROKUP,FIX,+530102.00-0013057.00
752,ROLEX,FIX,+532542.00-0035804.00
753,ROLUM,FIX,+541820.00+0031831.00
754,ROPAL,FIX,+550817.00+0035643.00
755,ROPMU,FIX,+520614.00+0002917.00
756,ROSUN,FIX,+534008.00-0022057.00
757,ROTEV,FIX,+540144.00-0060358.00
758,ROTNO,FIX,+505126.00+0004641.00
759,ROVNI,FIX,+535313.00+0003901.00
760,ROXAT,FIX,+532449.00+0030000.00
761,ROXOG,FIX,+501558.00-0013344.00
762,RUBEX,FIX,+551912.00-0065607.00
763,RUBMI,FIX,+501646.00-0021943.00
764,RUDMO,FIX,+504640.00-0010127.00
765,RUGER,FIX,+532858.00-0032652.00
766,RUGID,FIX,+572209.00-0045355.00
767,RULAV,FIX,+532614.00-0051001.00
768,SABER,FIX,+514214.00+0005658.00
769,SALCO,FIX,+494414.00-0033146.00
770,SAMON,FIX,+511921.00-0072504.00
771,SANBA,FIX,+530822.00-0022003.00
772,SANDY,FIX,+510351.00+0010403.00
773,SAPCO,FIX,+523225.00-0012125.00
774,SEMMU,FIX,+524641.00-0040222.00
775,SETEL,FIX,+540045.00-0022609.00
776,SHAPP,FIX,+543000.00-0023738.00
777,SIDDI,FIX,+503107.00-0035802.00
778,SILVA,FIX,+515051.00-0010019.00
779,SIREN,FIX,+513415.00-0015229.00
780,SIRGO,FIX,+513746.00+0003847.00
781,SITET,FIX,+500600.00+0000000.00
782,SITKU,FIX,+534436.00-0044954.00
783,SIVBU,FIX,+532755.00-0003444.00
784,SIVDA,FIX,+522122.00+0000147.00
785,SKERY,FIX,+500000.00-0031023.00
786,SKESO,FIX,+494929.00-0030203.00
787,SKINA,FIX,+524817.00-0014623.00
788,SLANY,FIX,+520931.00-0055032.00
789,SLYDA,FIX,+541204.00-0050515.00
790,SMOKI,FIX,+574637.00-0023556.00
791,SOBDO,FIX,+500426.00-0070700.00
792,SOKDU,FIX,+503939.00-0020133.00
793,SOMAX,FIX,+500000.00-0150000.00
794,SOMVA,FIX,+521826.00+0023838.00
795,SONDO,FIX,+520506.00+0014842.00
796,SONEX,FIX,+532953.00-0021021.00
797,SONOG,FIX,+520620.00+0021610.00
798,SOPAX,FIX,+533849.00-0042708.00
799,SOPEK,FIX,+530632.00+0023000.00
800,SOPIT,FIX,+515730.00-0010626.00
801,SOPTO,FIX,+551820.00+0050000.00
802,SOPTU,FIX,+503554.00-0040918.00
803,SOSAR,FIX,+610000.00-0020000.00
804,SOSIM,FIX,+534856.00-0043030.00
805,SOTUN,FIX,+541036.00+0033737.00
806,SOVAT,FIX,+504646.00+0012800.00
807,SOVED,FIX,+560000.00-0140000.00
808,SOXON,FIX,+585806.00-0035222.00
809,SOXUX,FIX,+503546.00+0005545.00
810,SPEAR,FIX,+513434.00+0004201.00
811,STAFA,FIX,+525141.00-0021435.00
812,STIRA,FIX,+560802.00-0035001.00
813,STOAT,FIX,+520133.00-0000115.00
814,SUBIP,FIX,+502644.00+0005306.00
815,SUBUK,FIX,+542248.00-0031711.00
816,SUDBY,FIX,+551745.00-0041606.00
817,SUMIN,FIX,+551946.00-0040318.00
818,SUMUM,FIX,+513814.00+0020628.00
819,SUNFI,FIX,+505802.00-0035202.00
820,SUNOT,FIX,+570000.00-0150000.00
821,SUNUP,FIX,+512731.00+0015227.00
822,SUPAP,FIX,+492602.00-0054922.00
823,SUPEL,FIX,+531340.00+0003528.00
824,SUPIT,FIX,+571957.00-0070506.00
825,SURAT,FIX,+555456.00+0033000.00
826,SUSIS,FIX,+553617.00-0002102.00
827,SWANY,FIX,+513334.00-0040748.00
828,TABEN,FIX,+512149.00-0011022.00
829,TABIS,FIX,+520032.00+0002644.00
830,TADAL,FIX,+533514.00-0030135.00
831,TADEX,FIX,+545124.00-0081401.00
832,TAKAS,FIX,+490000.00-0080000.00
833,TALGA,FIX,+515730.00-0031444.00
834,TALIG,FIX,+493059.00-0054804.00
835,TAMEL,FIX,+484343.00-0102950.00
836,TANET,FIX,+512658.00+0005532.00
837,TARTN,FIX,+554302.00-0030819.00
838,TEBRA,FIX,+512920.00+0013643.00
839,TEDSA,FIX,+520303.00+0010739.00
840,TELBA,FIX,+523952.00-0021907.00
841,TELTU,FIX,+504840.00-0004518.00
842,TENDO,FIX,+540144.00+0001447.00
843,TENSO,FIX,+533602.00-0021227.00
844,TERKO,FIX,+513732.00+0004448.00
845,TESDO,FIX,+500726.00-0070700.00
846,TEVMO,FIX,+511025.00+0012459.00
847,TEVSI,FIX,+512101.00-0010301.00
848,THRED,FIX,+502955.00-0013950.00
849,TIBGA,FIX,+522326.00-0052705.00
850,TIGER,FIX,+510402.00+0002622.00
851,TIGGY,FIX,+503701.00-0005130.00
852,TILNI,FIX,+543251.00-0015118.00
853,TIMBA,FIX,+505644.00+0001542.00
854,TIMIS,FIX,+535701.00-0043556.00
855,TIMPO,FIX,+523332.00-0010950.00
856,TINAC,FIX,+561503.00+0050000.00
857,TINAN,FIX,+504000.00-0032654.00
858,TINDI,FIX,+540214.00+0031529.00
859,TIPAN,FIX,+543554.00+0042356.00
860,TIPIL,FIX,+531000.00-0014423.00
861,TIPOD,FIX,+532608.00-0031705.00
862,TIPTA,FIX,+544813.00-0013641.00
863,TIVER,FIX,+504833.00-0032526.00
864,TIXEX,FIX,+520748.00-0010043.00
865,TOBID,FIX,+521300.00-0012759.00
866,TOBIX,FIX,+513617.00+0011651.00
867,TOBMO,FIX,+564538.00-0062811.00
868,TOFED,FIX,+511736.00-0021549.00
869,TOLSA,FIX,+530737.00+0030629.00
870,TOPPA,FIX,+532409.00+0033341.00
871,TOPRO,FIX,+515442.00-0031457.00
872,TORGO,FIX,+530757.00-0031559.00
873,TOSVA,FIX,+514037.00+0020426.00
874,TOTRI,FIX,+514630.00+0001148.00
875,TOVGU,FIX,+514403.00+0004538.00
876,TOXTA,FIX,+551506.00-0042705.00
877,TRIPO,FIX,+514247.00+0010458.00
878,TUBSU,FIX,+520406.00-0014028.00
879,TUFOZ,FIX,+510101.00-0003024.00
880,TUGPO,FIX,+513710.00+0005452.00
881,TULTA,FIX,+483437.00-0080000.00
882,TUMTI,FIX,+530440.00-0013615.00
883,TUNBY,FIX,+511008.00+0001929.00
884,TUNSO,FIX,+550640.00-0045741.00
885,TUPEM,FIX,+535017.00-0032855.00
886,TURLU,FIX,+500435.00-0080000.00
887,TUXOS,FIX,+555824.00-0073135.00
888,TUZLA,FIX,+522041.00+0010012.00
889,UGBET,FIX,+513701.00-0000705.00
890,UGBUD,FIX,+514714.00-0033910.00
891,UGNUS,FIX,+514232.00-0020823.00
892,ULLAP,FIX,+575400.00-0051009.00
893,ULSAX,FIX,+533554.00-0015700.00
894,ULTIB,FIX,+513936.00-0001644.00
895,UMBAG,FIX,+522052.00+0004657.00
896,UMBUR,FIX,+512733.00+0000708.00
897,UMKIL,FIX,+531106.00-0023723.00
898,UMLAT,FIX,+514020.00-0004139.00
899,UMLUX,FIX,+522237.00-0020019.00
900,UMOLO,FIX,+520803.00-0031357.00
901,UMTUM,FIX,+511227.00+0010103.00
902,UNBIG,FIX,+514427.00-0033502.00
903,UNDUG,FIX,+504724.00+0002530.00
904,UNDUX,FIX,+533830.00-0041839.00
905,UNGAP,FIX,+522129.00-0012339.00
906,UNIGO,FIX,+533340.00-0013339.00
907,UNPUP,FIX,+503224.00-0043430.00
908,UNSAD,FIX,+513340.00+0005746.00
909,UNTAL,FIX,+545435.00-0014423.00
910,UNURO,FIX,+552111.00-0032102.00
911,UPDUK,FIX,+523427.00-0005630.00
912,UPGAS,FIX,+551441.00+0050000.00
913,UPGET,FIX,+563935.00-0020050.00
914,UPTON,FIX,+533513.00-0011803.00
915,USEKA,FIX,+534202.00-0002645.00
916,UTAVA,FIX,+515847.00-0000419.00
917,UTOGU,FIX,+550740.00-0030443.00
918,UTUXA,FIX,+530030.00-0021313.00
919,UVAVU,FIX,+542500.00-0015346.00
920,UVPOK,FIX,+535940.00-0041235.00
921,VABIK,FIX,+511447.00+0020000.00
922,VABKA,FIX,+531808.00-0024410.00
923,VADNO,FIX,+572711.00-0033738.00
924,VAKPO,FIX,+541125.00-0052239.00
925,VALBO,FIX,+550743.00+0050000.00
926,VAMEB,FIX,+540010.00-0024832.00
927,VAPID,FIX,+511514.00-0010242.00
928,VAPPI,FIX,+553139.00-0034543.00
929,VASUX,FIX,+503009.00-0011517.00
930,VATON,FIX,+512604.00-0002056.00
931,VATRY,FIX,+523316.00-0053000.00
932,VAXIT,FIX,+563215.00+0050000.00
933,VEGAR,FIX,+530234.00-0015823.00
934,VEGUS,FIX,+532401.00-0002111.00
935,VELAG,FIX,+522436.00-0010050.00
936,VENAS,FIX,+541820.00+0033908.00
937,VENER,FIX,+543000.00-0150000.00
938,VEXEN,FIX,+500822.00-0014934.00
939,VEXUB,FIX,+511409.00-0003646.00
940,VIDOK,FIX,+522439.00-0020231.00
941,VOLFI,FIX,+532035.00-0032151.00
942,VOUGA,FIX,+510333.00-0005750.00
943,WAFFU,FIX,+503457.00+0002059.00
944,WEALD,FIX,+511951.00+0000205.00
945,WELIN,FIX,+521450.00-0005108.00
946,WESUL,FIX,+514015.00+0002909.00
947,WILLO,FIX,+505906.00-0001130.00
948,WIZAD,FIX,+510700.00+0005711.00
949,WOBUN,FIX,+520110.00-0004400.00
950,WOTAN,FIX,+513726.00-0022006.00
951,XAMAB,FIX,+501216.00+0001553.00
952,XAMAN,FIX,+514705.00+0021327.00
953,XAPOS,FIX,+531729.00-0013751.00
954,XAVAP,FIX,+491402.00-0060835.00
955,XIDIL,FIX,+502106.00+0003829.00
956,YOHDA,FIX,+521203.00-0012736.00
957,ZEDDO,FIX,+513142.00-0043335.00
958,ZOPHI,FIX,+510127.00-0000055.00
