,name,route
30,L980,VEXEN/DOMUT/KATHY/ABSAV/AVANT/MID/LAM/EVNAS/WESUL/BRASO/MANGO/LIVSU/SABER/TRIPO/JACKO/LOGAN/XAMAN
31,L982,ORIST/ERGUM/ROXOG/VASUX/DISVO/TELTU
32,L983,GOW/SAB/MADAD/GOMOT/CUTEL/SURAT/PETIL
33,L989,BODSO/SOPEK
34,M8,SUBIP/ELDAX/WAFFU
35,M14,GILDA/FERIT/WESUL/STOAT
36,M16,DOLAS/NAPEX/XAPOS/MCT/WAL
37,M17,ADKIK/EXMOR/KESUP/SWANY/STU/PEMOB/LEMGU/VATRY
38,M25,ANNET/NAKID/IDOKI/GAPLI
39,M40,UMBUR/IPKUS/NILON/TERKO/SABER/IDESI/RINIS
40,M79,EMLON/ROVNI/TENDO/NATEB
41,M83,PETIL/REKNA/RIVOT/RUGID
42,M84,KONAN/ABTUM/NONVA/EVMEK/CLN/TOVGU/ODUKU
43,M85,ITVIP/DAGGA
44,M87,UMTUM/EKNIV
45,M90,LONAM/SOTUN/ROLUM/GIVEM/NEXUS
46,M91,IRKUN/LYD/EMKAD/EKNIV
47,M140,DVR/PENUX/ROKKE/SAM/OXLOW/EXMOR/COWJO/MERLY/NORLA
48,M142,OGAGI/DOLUR/LND/INSUN/LESLU
49,M144,PENIL/BABRA/GIGTO/UNDUX/SOPAX/RAMOX/OGTUG/BAGSO
50,M145,BAGSO/RIMVU/SITKU/LANVA/LELDO
51,M146,WAL/AGLIL/DIGMA/ERDUV/LUSOD/PEPEG/ROBOP/IPSET
52,M147,REMSI/UVPOK/NOPKI/MATUT/ROBOP/MAGEE
53,M148,REMSI/NINEB/MASOP/IDGAS/IBTES/LIMKA/MAGEE
54,M183,CPT/SILVA/NUGBO/BKY/ADMIS/TEDSA/SONDO/SONOG/REDFA
55,M184,KOTEM/PILIP/NELKO/AVANT/HEMEL
56,M185,LUGIS/ADLOG/DESNA/TELTU/MID/MODMI/OCK/KOBBI/BPK
57,M189,NEVIL/OSPOL/HAWKE/WAFFU/HASTY/LYD/SANDY/DVR/JACKO/CLN/GASBA
58,M195,LORKU/MARUK/IBNID/SAM
59,M197,GAPLI/SUNFI/TOFED/GAJIT/CPT/IPRIL/KOBBI/BRAIN/GASBA/RATLO/REDFA
60,M604,DET/FRANE/SPEAR/TOVGU/DAGGA/GASBA/PAAVO/TEDSA/LAPRA/LEDBO/ENITO/BEKMO/GIVPO/ROKAN/VENAS/LARGA/INPUT/INBOB
61,M605,XIDIL/HARDY/WAFFU/SFD/WOD/BENSU/SILVA/FINMA/DTY/PEDIG/POL
62,M733,SUBIP/BANVA/UNDUG/MAY
63,M868,TNT/TIPIL/EVSON/ADELU
64,M981,GODOS/ROXAT/NATEB
65,M982,TOPPA/ROKAN/ERLOT/ROBEM/RITSI/SAB/FINDO
66,N6,PILIP/TIGGY/TELTU
67,N12,DOLUR/MABUG/IDOKI/TESDO/LULOX
68,N14,NIBDA/VOUGA/KENET/UGNUS/OKTAD/DOBEM/TOPRO/MEDOG/FOXLA/ABAPO/PEMOB/LANPI/BAKUR
69,N16,GIBSO/BEGTO/AVANT/GWC/OTSID/BIG/BPK/BKY
70,N17,RIGDI/SIDDI/ORVUX/DAWLY/ELRIP/OTMET/SOKDU/NEDUL/TELTU
71,N18,LND/ELRAG/GISOK/OSGIL/PEMOB
72,N19,GAPLI/UNPUP/SOPTU/JOZMA/KOXOD/ADKIK/NULGU/SAM
73,N20,KUNAV/ELDAX/NOTGI/EVEXU
74,N21,GAPLI/MERLY
75,N24,PEMOB/SLANY
76,N26,MANIG/BHD/DEVOM/DAGKO/ZEDDO/STU
77,N28,GATRA/BANBA
78,N30,BANBA/PEMOB
79,N34,NEVRI/ABSUN/BEL
80,N38,DOLUR/LESLU
81,N40,DOLUR/DOKEK/EVRIN
82,N42,RETSI/MONTY
83,N44,GIGUL/ODMOS/NOBDO/DOKEN
84,N58,AMPOP/GATRA
85,N63,LELNA/OLGUD/SAM/VOUGA/IMVUR
86,N66,AVRAL/BADGA/DOKEN/GOMOT
87,N80,NAKID/ARKIL
88,N83,NAKID/LEDGO
89,N84,NAKID/LULOX
90,N90,SKESO/NOTRO/EXJET/LAMAT
91,N91,NEZZA/PERUP/FIGZI
92,N92,EXMOR/ITJON/OKTAD/DUCNO/LUXTO/UMLUX
93,N93,LUXTO/PEPUL/ADMEX
94,N96,ROKAN/NEXUS
95,N97,ROKAN/NATEB/TLA/MAC
96,N110,DOLAS/ABTOS/ODNEK/USEKA/ERKIT/BAVDO/UNTAL/AGPED/LAMMA
97,N160,LIZAD/NAKID/LND/INSUN/BOGMI/LEDGO
98,N491,TAKAS/ALUTA/MOSIS
99,N502,PIKOD/SUPAP/PEMAK/PHILI/RATKA
100,N512,ADRUD/LARLA
101,N513,ELRIP/FONZU/DIDEL
102,N514,LESLU/PAVLO/ODADA/DIDEL/BAZJO/ADKIK/OSNUG/EXARO/EVTES/GASGU
103,N521,XAVAP/LARLA/RATKA
104,N546,SALCO/ERFAX/NEXXU/STU/BAKUR
105,N552,RUBEX/MAC
106,N562,TRN/HERON/MAC/DONIB/MIMKU
107,N610,LONAM/NATEB/LAMMA/FINDO/LAGAV/RUGID/STN/BILLY/BARKU/RATSU
108,N621,LELNA/MARUK/KAPEX/SAM/EVTES/GOGSI
109,N859,SITET/DRAKE/INKEK/EVEXU/GWC/VAPID/CPT/DIGUT/KIDLI/HON/UTUXA/SANBA
110,N862,SKESO/SKERY/BHD/KOXOD/IPZOL/LAMAT/ITJON/ERNOK/PERUP/DOBEM/RILES/AMRAL/RETSI/NENVO/ROBVA/KARNO/RISLA/NOKIN/WAL
111,N866,LORKU/RUBMI/ROKSI/BILNI/SAM/GASGU/DIGSU/BANEM/LEDBO/BUKUT/KUBAX/TOLSA/AKOKO/BINBO/LARDI/TIPAN/UPGAS
112,N867,GARMI/VASUX/AVANT
113,P1,GODOS/BINBO/ROKAN/TINDI/ROLUM/GIGUL/RODSI
114,P2,NIGIT/BEDEK/HOFIK/OKESI/NUMPO/STU/BANBA
115,P4,EVRIN/DIKAS/OKTAD
116,P5,DIGSU/UMBAG/ELNAB/CUTEL/GIBSU/LAMRO/NIVUN
117,P6,LESTA/RODOL/NELBO/IPSET/BEL
118,P7,LOGAN/IDESI/SONOG/BARMI/BUKUT
119,P13,ROLUM/ASKAM
120,P15,NATEB/DIGBI/ERLOT/GIVEM/NAVEL/CUTEL/REKNA/VAXIT
121,P25,LAPRA/MIPVO/DITOB/MEGEL/BARMI
122,P44,BRAIN/DAGGA/CLN/RATLO/PIXAM/SOMVA
123,P49,XAMAN/IDESI/LAPRA
124,P58,PELET/ODMOS/RODSI/GIVEM/SUSIS/MADAD/FINDO
125,P69,LULOX/UNPUP/DAWLY
126,P70,DAWLY/SOPTU/ARKIL
127,P71,DAWLY/LESLU
128,P72,DAWLY/ODADA/LEDGO
129,P73,DAWLY/MOPAT
130,P83,BOLRO/KATHY/ELDER/SAM
131,P86,MABUG/OSMAP/ORVUX/KOXOD
132,P87,BOLRO/ROXOG
133,P88,ODREP/GOKTU/VASUX
134,P137,REDFA/SIVDA
135,P144,MATCH/DIGSU/TUZLA/LATMU/LARGA/SOPTO
136,P155,SOMVA/ABEDA/BANEM/UMBAG/SIVDA/BANTO/EBOTO/UNGAP/HON/FACTU/MORAG
137,P166,DTY/WELIN/BANTO
138,P620,NIMAT/NUMPI/NELBO/BLACA
139,Q3,LAM/OCK/HEMEL/MOGLI
140,Q4,EMBOR/TNT/LISTO/VABKA/WAL/NOMSU/GIGTO
141,Q36,NUGRA/EPOXI/NOSLO/ALAVA/ABGEP/RULAV/LIFFY
142,Q37,MALUD/DONAX/BAVUD/BAKOX/LIFFY
143,Q38,NUGRA/VOLFI/MALUD/GIGTO/SOSIM/MAKUX/VAKPO/PEPOD
144,Q39,NOMSU/DANDI/INKOB/TIMIS/ETIGA/BABGU/RINGA
145,Q41,ORTAC/THRED/NEDUL/SAM/PEPIS/TABEN/NORRY/COWLY/SILVA
146,Q60,KOPUL/UGBET/KILFA/UGNUS/LANON/MORAG
147,Q63,SUMUM/BLIXY/ARREK/ERING/KOPUL/IDITU/IPKUS/CPT/KENET/MIMBI/SIREN/MALBY/WOTAN/BADIM/ALVIN/ERNOK/BCN/UGBUD/INRUB/AMMAN/STU/LANPI/TIBGA/VATRY
148,Q70,VABIK/MOKBU/ITVIP/DET/BIG/BENSU/COWLY
149,Q75,BUZAD/UTAVA/BKY
150,Q295,CPT/BPK/TOTRI/MATCH/BRAIN/PAAVO/SOMVA
151,T7,ADRUD/PEMAK/AMPOP/MABUG/LND/AMHAG/ASRAX/IDOVO/NITON/KARNO
152,T55,CUTEL/ITSUX/TINAC
153,T71,VAPID/TEVSI/COWLY
154,T418,UMLAT/WOBUN/WELIN
155,T420,ALESO/ROTNO/ETVAX/TIGER/BIG/ULTIB/HEMEL/BUZAD/OLNEY/WELIN/AKUPA/TIMPO/ELVOS/TNT
156,T421,KUNAV/NIVKO/BISRU/BIG
157,UL8,STAFA/NANTI/UMKIL/VABKA/ASNIP/TADAL/BILVO
158,UL9,KONAN/DVR/UMTUM/EMKAD/LAVRI/DIKVU/BIG/GOXUL/LINDY/NORRY/CPT/KENET/GAVGO/DEZZU/DIKAS/LUFTU/STU/SLANY
159,UL28,TNT/RODOL/MCT/ASNIP/AGLIL/PENIL/DANDI/LELDO/SOSIM
160,UL70,DESIG/KOLID/TADAL/GUNTU/PENIL/BABRA/GIGTO/UNDUX/SOPAX/RAMOX/OGTUG/BAGSO
161,UL612,XAMAB/HAWKE/BENBO/BOGNA/MID/WOD/COWLY/EMKUK/IXURA/HON/LISTO/LOVEL/BARTN/CROFT/CALDA/OBUNI/VAMEB/LAKEY/DCS/BEBNI/NAVSO/LUSIV/FENIK/GOW/ORSUM/STN/MODGO/BESGA/MATIK
162,UL619,VALBO/AVRAL/CUTEL/RIVOT/DENOG/AKIVO
163,UL975,LIFFY/IDEXA/GINIS/NATKO/LYNAS/ROLEX/MALUD/WAL/ASMIM/BARTN/SONEX/DENBY/DESIG/UNIGO/UPTON/ARPUB/GOLES/LIBSO/ROVNI/ODMOS/ROPAL/INPUT/LESRA
164,UM8,SUBIP/ELDAX/WAFFU
165,UM30,SALCO/NOTRO
166,UM65,RODOL/TENSO
167,UM82,TIPTA/ROBEM/RIVOT/NIVUN
168,UM86,FORTY/SOXON/AKIVO
169,UM89,TRN/SAB/RIVOT/ALOTI
170,UM125,ORVIK/SUM
171,UM184,KOTEM/PILIP/NELKO/AVANT/HEMEL
172,UM185,LUGIS/ADLOG/DESNA/TELTU/MID/MODMI/OCK/KOBBI/BPK/DIGSU/ADGEG/TIPAN/ATNAK
173,UM189,DRAKE/HAWKE/WAFFU/LYD
174,UM605,XIDIL/HARDY/WAFFU/SFD/WOD/BENSU/SILVA/FINMA/DTY
175,UM733,SUBIP/BANVA/UNDUG/MAY
176,UM868,TNT/TIPIL/EVSON/ADELU
177,UM869,SURAT/GOREV
178,UN6,PILIP/TIGGY/TELTU
179,UN22,SALCO/BABAX
180,UN32,ANNET/NOTRO
181,UN34,TALIG/MABUG/INSUN/GATRA/EVRIN
182,UN57,SANDY/LAM/WELIN/SAPCO/TNT/POL/BAMEP/SETEL/OLPOP/IPNOX/DCS/MAC
183,UN537,MAC/GOW
184,UN562,MAC/SAB
185,UN581,VAXIT/ELSAN/GIBSU/ODMIX/ADN/VADNO
186,UN583,STN/PIPEM/FORTY
187,UN584,BAMRA/SUM
188,UN590,HALIF/APPLE/ABEVI/GOW
189,UN591,RIVOT/ADN/STN/NINEX
190,UN593,NINEX/BAMRA
191,UN601,SANDY/DET/BPK/POTON/BEDFO/EBOTO/PIPIN/LESTA/EMBOR/XAPOS/BOLBI/ULSAX/POL/NELSA/RIBEL/ERGAB/SHAPP/ABEVI/INPIP/UTOGU/INREV/ESKDO/IPDOR/TLA/ERSON/NEVIS/STN/AKIVO
192,UN603,BEREP/SUM/KESEG/BILLY/AKIVO
193,UN614,STN/ADASI/DOSUN
194,UN859,SITET/GWC/VAPID/CPT/DIGUT/KIDLI/HON/UTUXA/SANBA
195,UN864,SALCO/BHD/DAWLY/TINAN/TIVER/ATWEL/MULIT/EXMOR/NEZZA/NUMPO/BCN/DIKAS/NAVOV/GOGIG/TOPRO/TALGA/UMOLO/NITON/OKTEM/NILGI/MONTY/GODPA/REXAM/IVLOD/WAL/GUNTU/BILVO/SUBUK/DCS/ASRUS/UNURO/TLA
196,UN867,GARMI/VASUX/AVANT
197,UP6,MOGLI/LESTA/TUMTI/RODOL/KOLID/BILVO/TUPEM/REMSI
198,UP16,ANNET/BABAX/DEVOM/KESUP/UNBIG/IDOVO/BERUL/MONTY/NOKIN/ASMIM/CROFT/RIBEL/BEGAM/BINTI/RAPUM/NATEB/ROBEM/SUSIS/BEVAM/CUTEL
199,UP17,NITON/ANJAK/NOKIN/KUXEM/BARTN/POL/IPSIR/OBOXA/ARSAT/TIPTA/DIGBI
200,UP18,POL/IDKOL/ABKAT/GASKO/UVAVU/TILNI/GIRLI/UNTAL/NATEB/ELMUD/ALASO/RITSI/MADAD/NEXUS/BALID/UPGET/OKPAL/RATPU/ADN
201,UP24,NEVIS/ORSUM/KUVOX/NINEX
202,UP59,ASKAM/NOBDO/NAVEL/BEVAM/GOMOT/NEXUS/RUGID/NINEX/BALIX
203,UP60,VAXIT/ARTEX/LAMRO/FORTY/BAMRA/AKIVO/ATSIX
204,UP61,BAMRA/KESEG/DOSUN/MODGO/DEVBI/RATSU
205,UP83,BOLRO/KATHY/ELDER/SAM
206,UP87,BOLRO/ROXOG
207,UP88,ODREP/GOKTU/VASUX
208,UP600,TRN/GOW/FINDO/PTH/ADN/LESNI/BUDON/OVDAN/FORTY/KLONN
209,UP612,PEPIN/SUM/BESGA/RATSU
210,UP620,CAMBO/SUPAP/TALIG/OSMAP/LND/PAVLO/DOKEK/BANBA
211,UQ4,TNT/LISTO/VABKA/WAL/NOMSU/GIGTO
212,UT29,LAMIX/VEGUS/LIBSO
213,UT71,VAPID/TEVSI/COWLY
214,UT256,DCS/RIPNO/OSMEG/ORVUL/NORBO
215,UY47,DRAKE/BENBO/SFD
216,UY53,NUGRA/NANTI/MOGTA/EKLAD/WAL
217,UY124,LISTO/MOGTA/AMPIT/DOLOP/BAGIT/LUTIP/LOMVO/DEXEN
218,UY250,DTY/AKUPA/LESTA/MAMUL/UPTON/BATLI/RIMTO/OBOXA/GASKO
219,UZ105,FORTY/RIGVU
220,UZ107,ADN/BEREP
221,Y4,TEBRA/PIBUX/ARREK/ODROB/SONOG
222,Y6,SUMUM/TOSVA/IDESI/BANEM
223,Y8,GAPLI/TESDO/RIGDI/GITUS/GAKKA/BUMUX/ADCUB/SAM/GWC/WAFFU/BANVA/KUNAV
224,Y47,DRAKE/BENBO/SFD/MAY
225,Y53,SAPCO/PEDIG/NUGRA/NANTI/MOGTA/EKLAD/WAL
226,Y70,RAVLO/BODSO/SUPEL/ABTOS/OTBED/VEGUS/SIVBU/GIPLO/GOLES/BATLI/POL/CROFT/KOLID
227,Y96,NATEB/AGPED/OTBUN/IPSAD/HAVEN/TLA/NORBO
228,Y110,ORIST/VEXEN/THRED
229,Y124,LISTO/MOGTA/AMPIT/DOLOP/BAGIT/LUTIP/LOMVO/DEXEN
230,Y125,FITBO/RETSI/BERUL/SEMMU/LIPGO
231,Y311,DVR/ODVIK
232,Y312,DVR/ADMAG
233,Y321,EXARO/PEPIS/NUBRI/CPT/EMKUK/ADMEX
234,Y322,BUGUP/PEPUL
235,Y803,LYD/SFD/MID/MAXIT
236,Y911,BOYNE/NOCAD/IOM
237,Y958,BRUCE/TOBMO
238,Z171,LELNA/THRED/NEDUL/SAM
239,Z195,ALAVA/MALUD
240,Z196,GUNTU/DIGMA/LELDO
241,Z197,LISTO/EKLAD/VOLFI/NOSLO
242,Z198,ERDUV/MASOP
243,Z246,HERON/DAUNT
244,Z247,HERON/OKNOB
245,Z248,OSMEG/LUCCO
246,Z249,OSMEG/SUDBY
247,Z250,LUCCO/SUMIN/HAVEN
248,Z278,LARGA/PENUN
